_id,关注的收藏夹,关注,关注者,关注的问题,关注的话题,关注的专栏
587598f89f11daf90617fc44,61,123,205,670,24,18
587598f89f11daf90617fc46,6,17,8,44,2,7
587598f89f11daf90617fc48,5,17,0,20,7,3
587598f89f11daf90617fc4a,148,27,0,2,8,42
587598f89f11daf90617fc4c,6,1418,20,4994,42,3
587598f89f11daf90617fc4e,110,29,10,1,1,16
587598f89f11daf90617fc50,37,151,4,48,1,2
587598f89f11daf90617fc52,3,1420,41,243,39,5
587598f99f11daf90617fc54,15,41,0,513,59,2
587598f99f11daf90617fc56,12,9,0,2,39,2
587598f99f11daf90617fc58,3,0,0,4,58,0
587598f99f11daf90617fc5a,1,804,197,830,39,26
587598f99f11daf90617fc5c,1,0,0,0,2,0
587598f99f11daf90617fc5e,44,62,201,314,8,3
587598f99f11daf90617fc60,39,198,55,854,26,10
587598f99f11daf90617fc62,51,101,3,753,74,53
587598f99f11daf90617fc64,4,34,2,63,44,0
587598f99f11daf90617fc66,3,5,1,0,14,0
587598f99f11daf90617fc68,216,179,2,53,13,4
587598f99f11daf90617fc6a,7,4,2,12,9,0
587598f99f11daf90617fc6c,44,628,6597,1566,144,69
587598f99f11daf90617fc6e,63,133,49,28,2,9
587598f99f11daf90617fc70,127,74,244,2,1,35
587598f99f11daf90617fc72,36,32,3,7,3,20
587598f99f11daf90617fc74,11,330,16,77,301,6
587598f99f11daf90617fc76,20,19,2,54,33,0
587598f99f11daf90617fc78,141,41,3,21,1,147
587598f99f11daf90617fc7a,12,31,29,83,97,4
587598f99f11daf90617fc7c,15,53,2381,101,23,0
587598f99f11daf90617fc7e,339,69,15,64,2,96
587598f99f11daf90617fc80,180,118,11,3894,5,11
587598f99f11daf90617fc82,6,20,12,15,29,0
587598f99f11daf90617fc84,5,0,2,1,16,0
587598f99f11daf90617fc86,11,50,3,107,56,7
587598f99f11daf90617fc88,11,1,2,35,34,0
587598f99f11daf90617fc8a,34,9,3,3,3,1
587598f99f11daf90617fc8c,2,11,2,1,2,0
587598f99f11daf90617fc8e,13,309,14,534,51,110
587598f99f11daf90617fc90,45,45,8,37,1,14
587598f99f11daf90617fc92,52,31,4,109,58,6
587598f99f11daf90617fc94,744,239,13,1,6,21
587598f99f11daf90617fc96,24,14,3,71,0,3
587598f99f11daf90617fc98,81,1540,30,642,40,6
587598f99f11daf90617fc9a,0,1,0,0,0,0
587598f99f11daf90617fc9c,1,0,0,1,0,0
587598f99f11daf90617fc9e,27,85,3,82,223,13
587598f99f11daf90617fca0,13,0,0,2,0,0
587598f99f11daf90617fca2,32,35,0,6,9,2
587598f99f11daf90617fca4,3,23,9,59,33,4
587598f99f11daf90617fca6,1641,473,16,16,1,162
587598f99f11daf90617fca8,57,117,13,916,81,16
587598f99f11daf90617fcaa,120,415,11,1084,26,31
587598f99f11daf90617fcac,53,188,2,1100,20,21
587598f99f11daf90617fcae,200,140,4,24,7,31
587598f99f11daf90617fcb0,194,250,1103,10,1,19
587598f99f11daf90617fcb2,85,192,4,334,82,28
587598f99f11daf90617fcb4,42,45,1,48,53,1
587598f99f11daf90617fcb6,126,275,10,1322,111,11
587598f99f11daf90617fcb8,31,35,0,66,28,1
587598f99f11daf90617fcba,47,56,0,23,11,4
587598f99f11daf90617fcbc,247,274,8,14,19,23
587598f99f11daf90617fcbe,13,44,3,80,15,3
587598f99f11daf90617fcc0,2,1,1,14,3,0
587598f99f11daf90617fcc2,6,103,0,337,34,4
587598f99f11daf90617fcc4,7,50,15,77,73,2
587598f99f11daf90617fcc6,8,0,2,19,29,0
587598f99f11daf90617fcc8,12,13,3,3,4,0
587598f99f11daf90617fcca,30,28,6,40,32,4
587598f99f11daf90617fccc,1,54,3,26,18,6
587598f99f11daf90617fcce,63,387,10,19,1,1
587598f99f11daf90617fcd0,2,119,221,36,46,0
587598f99f11daf90617fcd2,110,45,3,135,26,2
587598f99f11daf90617fcd4,4,6,9,29,19,1
587598f99f11daf90617fcd6,12,44,1000,163,66,4
587598f99f11daf90617fcd8,76,29,0,75,19,3
587598f99f11daf90617fcda,8,5,0,28,0,0
587598f99f11daf90617fcdc,66,59,33,83,46,0
587598f99f11daf90617fcde,69,1056,102,1907,31,6
587598f99f11daf90617fce0,6,52,3,408,57,13
587598f99f11daf90617fce2,185,146,6,27,3,29
587598f99f11daf90617fce4,34,21,0,95,23,0
587598f99f11daf90617fce6,12,55,1,427,77,51
587598f99f11daf90617fce8,81,169,7,263,79,5
587598f99f11daf90617fcea,17,145,15,22,29,18
587598f99f11daf90617fcec,159,62,1,236,31,5
587598f99f11daf90617fcee,19,477,12,1863,28,150
587598f99f11daf90617fcf0,803,568,150,41,2,30
587598f99f11daf90617fcf2,51,146,0,13,16,3
587598f99f11daf90617fcf4,155,43,1,46,30,3
587598f99f11daf90617fcf6,0,3,6,5,57,0
587598f99f11daf90617fcf8,50,565,76,565,26,50
587598f99f11daf90617fcfa,8,58,1,347,45,12
587598f99f11daf90617fcfc,17,23,1,153,7,11
587598f99f11daf90617fcfe,53,14,5,30,6,0
587598f99f11daf90617fd00,4,13,0,12,1,0
587598f99f11daf90617fd02,9,4,1,11,12,0
587598f99f11daf90617fd04,116,73,3,6,1,48
587598f99f11daf90617fd06,35,81,9,591,40,19
587598f99f11daf90617fd08,108,264,16,317,11,20
587598f99f11daf90617fd0a,146,428,14,1290,98,16
587598f99f11daf90617fd0c,219,28,33,73,15,2
587598f99f11daf90617fd0e,21,16,1,19,33,4
587598f99f11daf90617fd10,111,78,44,412,24,15
587598f99f11daf90617fd12,81,58,2,430,0,14
587598f99f11daf90617fd14,6,209,10,68,96,2
587598f99f11daf90617fd16,31,35,2,47,3,10
587598f99f11daf90617fd18,138,2019,57,20513,1099,137
587598f99f11daf90617fd1a,80,58,1,168,43,3
587598f99f11daf90617fd1c,0,0,0,0,0,0
587598f99f11daf90617fd1e,9,27,20,92,8,2
587598f99f11daf90617fd20,140,21,2,8,1,22
587598f99f11daf90617fd22,31,117,3,197,7,7
587598f99f11daf90617fd24,7,63,48,15,2,3
587598f99f11daf90617fd26,22,38,5,130,65,16
587598f99f11daf90617fd28,151,79,13,8,4,0
587598f99f11daf90617fd2a,65,27,1,132,17,5
587598f99f11daf90617fd2c,5,13,2,20,13,0
587598f99f11daf90617fd2e,11,153,24,309,37,11
587598f99f11daf90617fd30,55,11,5,6,30,0
587598f99f11daf90617fd32,7,101,12,160,38,7
587598f99f11daf90617fd34,1,33,6,1,78,0
587598f99f11daf90617fd36,12,1,0,2,0,0
587598f99f11daf90617fd38,48,46,1,399,1,37
587598f99f11daf90617fd3a,6,24,1,6,33,5
587598f99f11daf90617fd3c,6,31,108,165,5,0
587598f99f11daf90617fd3e,10,13,1,40,17,9
587598f99f11daf90617fd40,44,13,0,0,1,0
587598f99f11daf90617fd42,48,224,1450,360,128,20
587598f99f11daf90617fd44,16,22,0,30,1,2
587598f99f11daf90617fd46,12,260,11,19,15,6
587598f99f11daf90617fd48,20,0,1,6,19,0
587598f99f11daf90617fd4a,66,84,50,480,37,10
587598f99f11daf90617fd4c,7,5,4,3,0,0
587598f99f11daf90617fd4e,12,4,11,22,10,4
587598f99f11daf90617fd50,80,305,6,453,27,6
587598f99f11daf90617fd52,177,484,19,318,53,146
587598f99f11daf90617fd54,7,17,0,20,2,1
587598f99f11daf90617fd56,20,2,1,10,8,1
587598f99f11daf90617fd58,70,0,0,0,3,0
587598f99f11daf90617fd5a,26,129,4,516,97,3
587598f99f11daf90617fd5c,18,47,0,18,22,28
587598f99f11daf90617fd5e,26,18,0,84,9,7
587598f99f11daf90617fd60,49,70,1,126,17,11
587598f99f11daf90617fd62,6,3,0,20,34,1
587598f99f11daf90617fd64,117,190,8,92,92,4
587598f99f11daf90617fd66,23,57,14,99,53,5
587598f99f11daf90617fd68,6,19,1,15,15,0
587598f99f11daf90617fd6a,3,32,2,158,6,0
587598f99f11daf90617fd6c,21,10,2,1,1,11
587598f99f11daf90617fd6e,15,243,75,5,17,14
587598f99f11daf90617fd70,47,247,46,324,19,19
587598f99f11daf90617fd72,105,40,20,1,1,7
587598f99f11daf90617fd74,11,22,14,47,8,9
587598f99f11daf90617fd76,1,0,0,0,4,0
587598f99f11daf90617fd78,27,27,6,15,2,11
587598f99f11daf90617fd7a,12,43,15,400,113,2
587598f99f11daf90617fd7c,165,24,17,0,1,47
587598f99f11daf90617fd7e,136,36,0,55,37,14
587598f99f11daf90617fd80,1694,399,115,59,1,115
587598f99f11daf90617fd82,4,10,2,0,0,0
587598f99f11daf90617fd84,1125,842,24848,108,33,27
587598f99f11daf90617fd86,49,27,3,145,3,1
587598f99f11daf90617fd88,6,66,5,47,15,4
587598f99f11daf90617fd8a,1,1,0,4,0,0
587598f99f11daf90617fd8c,26,23,1,30,7,1
587598f99f11daf90617fd8e,18,45,5,685,93,1
587598f99f11daf90617fd90,102,171,5,17,4,38
587598f99f11daf90617fd92,216,191,18,459,51,0
587598f99f11daf90617fd94,2,69,3,45,56,6
587598f99f11daf90617fd96,23,8,2,84,24,0
587598f99f11daf90617fd98,3,17,0,2,16,0
587598f99f11daf90617fd9a,207,756,6,877,30,263
587598f99f11daf90617fd9c,27,83,20,185,44,4
587598f99f11daf90617fd9e,13,109,34,26,5,1
587598f99f11daf90617fda0,17,11,1,9,4,1
587598f99f11daf90617fda2,17334,825,16,312,8,144
587598f99f11daf90617fda4,39,25,12,44,5,2
587598f99f11daf90617fda6,93,19,0,93,1,1
587598f99f11daf90617fda8,55,1,0,74,38,6
587598f99f11daf90617fdaa,2630,344,193,40,1,124
587598f99f11daf90617fdac,5,20,0,0,0,0
587598f99f11daf90617fdae,15,66,3,79,18,9
587598f99f11daf90617fdb0,34,100,3,17,1,46
587598fa9f11daf90617fdb2,77,364,9,5246,119,19
587598fa9f11daf90617fdb4,55,112,20,134,23,2
587598fa9f11daf90617fdb6,319,241,4,9,2,77
587598fa9f11daf90617fdb8,69,46,2,25,19,4
587598fa9f11daf90617fdba,12,62,38,126,14,15
587598fa9f11daf90617fdbc,2,0,0,10,1,0
587598fa9f11daf90617fdbe,20,188,11,257,191,50
587598fa9f11daf90617fdc0,158,82,1,25,3,28
587598fa9f11daf90617fdc2,69,84,8,222,9,6
587598fa9f11daf90617fdc4,9,31,1,6,0,10
587598fa9f11daf90617fdc6,14,53,1,109,59,5
587598fa9f11daf90617fdc8,4,1,0,6,13,0
587598fa9f11daf90617fdca,40,116,4,301,43,17
587598fa9f11daf90617fdcc,11,12,2,12,23,0
587598fa9f11daf90617fdce,3,1,0,9,8,0
587598fa9f11daf90617fdd0,27,0,0,0,6,0
587598fa9f11daf90617fdd2,24,44,15,33,21,12
587598fa9f11daf90617fdd4,49,16,0,105,1,4
587598fa9f11daf90617fdd6,155,1343,20,882,123,111
587598fa9f11daf90617fdd6,155,1343,20,882,123,111
587598fa9f11daf90617fdd8,35,575,5,1021,68,16
587598fa9f11daf90617fdda,3,134,7,182,64,12
587598fa9f11daf90617fddc,126,185,3,149,3,14
587598fa9f11daf90617fdde,344,136,7,14,3,16
587598fa9f11daf90617fde0,4,2,6,11,2,0
587598fa9f11daf90617fde2,8,123,0,20,34,2
587598fa9f11daf90617fde4,303,147,310,28,37,7
587598fa9f11daf90617fde6,11,1,0,1,1,0
587598fa9f11daf90617fde8,3,24,0,0,0,0
587598fa9f11daf90617fdea,13,23,7,36,25,1
587598fa9f11daf90617fdec,11,26,0,38,20,5
587598fa9f11daf90617fdee,3,10,8,12,95,5
587598fa9f11daf90617fdf0,14,142,46,123,19,2
587598fa9f11daf90617fdf2,15,16,3,19,184,2
587598fa9f11daf90617fdf4,37,449,12,738,33,2
587598fa9f11daf90617fdf6,16,0,0,0,0,0
587598fa9f11daf90617fdf8,98,4,0,109,4,3
587598fa9f11daf90617fdfa,68,29,5,520,129,3
587598fa9f11daf90617fdfc,9,1,0,13,82,0
587598fa9f11daf90617fdfe,155,432,13,122,275,24
587598fa9f11daf90617fe00,102,1,2,117,15,0
587598fa9f11daf90617fe02,539,78,5,35,9,2
587598fa9f11daf90617fe04,5,9,0,9,11,1
587598fa9f11daf90617fe06,14,12,3,263,7,0
587598fa9f11daf90617fe08,55,61,1,105,11,4
587598fa9f11daf90617fe0a,17,79,1,70,20,7
587598fa9f11daf90617fe0c,4,28,2,14,5,4
587598fa9f11daf90617fe0e,14,2,0,9,25,1
587598fa9f11daf90617fe10,4,35,5,36,77,4
587598fa9f11daf90617fe12,5,82,16,169,28,2
587598fa9f11daf90617fe14,126,46,5,86,111,4
587598fa9f11daf90617fe16,97,126,4,9,64,21
587598fa9f11daf90617fe18,32,4,0,48,10,2
587598fa9f11daf90617fe1a,43,16,4,12,13,0
587598fa9f11daf90617fe1c,9,59,0,87,22,18
587598fa9f11daf90617fe1e,78,241,3,288,57,29
587598fa9f11daf90617fe20,8,15,1,123,1,0
587598fa9f11daf90617fe22,100,14,6,82,66,12
587598fa9f11daf90617fe24,319,61,13,658,155,39
587598fa9f11daf90617fe26,57,8,0,17,9,4
587598fa9f11daf90617fe28,18,16,1,67,55,0
587598fa9f11daf90617fe2a,95,833,61,270,91,6
587598fa9f11daf90617fe2c,20,112,8,47,8,1
587598fa9f11daf90617fe2e,2,54,2,111,113,5
587598fa9f11daf90617fe30,198,169,13,15,1,56
587598fa9f11daf90617fe32,12,106,37,209,48,0
587598fa9f11daf90617fe34,31,70,1,39,5,0
587598fa9f11daf90617fe36,37,35,2,49,30,14
587598fa9f11daf90617fe38,38,34,7,51,42,9
587598fa9f11daf90617fe3a,62,89,0,57,30,3
587598fa9f11daf90617fe3c,7,16,5,4,21,0
587598fa9f11daf90617fe3e,48,26,1,68,7,2
587598fa9f11daf90617fe40,89,67,7,411,65,4
587598fa9f11daf90617fe42,24,144,15,6,5,20
587598fa9f11daf90617fe44,267,225,12,22,17,56
587598fa9f11daf90617fe46,75,20,3,79,40,3
587598fa9f11daf90617fe48,9,48,0,13,19,11
587598fa9f11daf90617fe4a,235,141,65,398,89,6
587598fa9f11daf90617fe4c,64,10,2,124,27,4
587598fa9f11daf90617fe4e,3,16,1,12,0,0
587598fa9f11daf90617fe50,40,17,0,24,4,3
587598fa9f11daf90617fe52,4,1,2,2,13,3
587598fa9f11daf90617fe54,42,367,2,12,32,8
587598fa9f11daf90617fe56,8,10,0,1,0,1
587598fa9f11daf90617fe58,2,1,0,4,0,0
587598fa9f11daf90617fe5a,525,522,35,61,7,237
587598fa9f11daf90617fe5c,52,200,9,38,45,5
587598fa9f11daf90617fe5e,26,28,32,70,26,2
587598fa9f11daf90617fe60,33,20,4,92,164,5
587598fa9f11daf90617fe62,59,47,4,12,1,22
587598fa9f11daf90617fe64,7,6,1,2,10,1
587598fa9f11daf90617fe66,34,18,41,50,23,3
587598fa9f11daf90617fe68,44,327,37,327,51,13
587598fa9f11daf90617fe6a,14,61,0,75,3,1
587598fa9f11daf90617fe6c,62,30,37,189,15,3
587598fa9f11daf90617fe6e,35,263,128,546,38,3
587598fa9f11daf90617fe70,145,31,8,305,9,1
587598fa9f11daf90617fe72,10,22,10,8,10,0
587598fa9f11daf90617fe74,7,130,4,581,12,7
587598fa9f11daf90617fe76,3,61,8,18,4,0
587598fa9f11daf90617fe78,30,85,3,36,20,2
587598fa9f11daf90617fe7a,49,20,1,59,21,4
587598fa9f11daf90617fe7c,36,92,3,171,104,3
587598fa9f11daf90617fe7e,28,33,6,244,102,0
587598fa9f11daf90617fe80,76,199,35,34,10,38
587598fa9f11daf90617fe82,37,5,0,1,1,13
587598fa9f11daf90617fe84,4,19,3,2,65,0
587598fa9f11daf90617fe86,198,46,2,125,58,18
587598fa9f11daf90617fe88,77,19,1,58,1,1
587598fa9f11daf90617fe8a,17,1,2,25,1,1
587598fa9f11daf90617fe8c,4,65,2,623,21,6
587598fa9f11daf90617fe8e,219,110,2,502,50,6
587598fa9f11daf90617fe90,211,132,4,8,2,64
587598fa9f11daf90617fe92,39,217,24,176,23,4
587598fa9f11daf90617fe94,413,140,2,3550,272,2
587598fa9f11daf90617fe96,310,317,8,8,3,69
587598fa9f11daf90617fe98,14,290,174,768,51,24
587598fa9f11daf90617fe9a,1429,144,4,118,1,47
587598fa9f11daf90617fe9c,38,76,10,237,19,2
587598fa9f11daf90617fe9e,26,1355,58,139,24,17
587598fa9f11daf90617fea0,7,3,1,20,20,0
587598fa9f11daf90617fea2,110,8,15,709,71,1
587598fa9f11daf90617fea4,36,63,8,37,89,12
587598fa9f11daf90617fea6,363,122,18,15,19,27
587598fa9f11daf90617fea8,60,47,16,427,56,9
587598fa9f11daf90617feaa,567,517,320,28,8,20
587598fa9f11daf90617feac,15,0,0,0,3,0
587598fa9f11daf90617feae,14,550,26,524,24,8
587598fa9f11daf90617feb0,36,6,0,9,16,2
587598fa9f11daf90617feb2,66,23,3,5,1,19
587598fa9f11daf90617feb4,2,22,27,90,25,4
587598fa9f11daf90617feb6,3,7,3,1,15,0
587598fa9f11daf90617feb8,8,79,76,163,20,10
587598fa9f11daf90617feba,13,121,46,38,10,14
587598fa9f11daf90617febc,1,13,0,15,25,0
587598fa9f11daf90617febe,19,5,5,12,15,1
587598fa9f11daf90617fec0,42,50,3,164,0,7
587598fa9f11daf90617fec2,502,51,7,2,1,31
587598fa9f11daf90617fec4,13,94,5,15,38,20
587598fa9f11daf90617fec6,6,10,1,10,21,1
587598fa9f11daf90617fec8,26,41,5,8,28,4
587598fa9f11daf90617feca,111,151,11,348,36,2
587598fa9f11daf90617fecc,462,245,56,39,4,146
587598fa9f11daf90617fece,1,12,0,1,1,0
587598fa9f11daf90617fed0,9,4,0,34,1,0
587598fa9f11daf90617fed2,2428,633,12,199,2,117
587598fa9f11daf90617fed4,29,82,3,72,118,11
587598fa9f11daf90617fed6,2,25,1,14,30,3
587598fa9f11daf90617fed8,1456,253,71,37,4,93
587598fa9f11daf90617feda,356,120,11,12,1,44
587598fa9f11daf90617fedc,17,10,0,19,0,1
587598fa9f11daf90617fede,22,35,8,24,57,0
587598fa9f11daf90617fee0,19,32,1,156,21,12
587598fa9f11daf90617fee2,16,28,0,61,7,0
587598fa9f11daf90617fee4,185,50,25,3,6,13
587598fa9f11daf90617fee6,40,31,1,42,4,0
587598fa9f11daf90617fee8,97,169,3,338,68,21
587598fa9f11daf90617feea,55,202,9,235,16,26
587598fa9f11daf90617feec,15,16,1,3,3,1
587598fa9f11daf90617feee,185,92,22,44,16,19
587598fa9f11daf90617fef0,47,129,1,130,126,6
587598fa9f11daf90617fef2,51,42,19,56,8,1
587598fa9f11daf90617fef4,216,270,85,36,3,45
587598fa9f11daf90617fef6,5,4,0,4,1,1
587598fa9f11daf90617fef8,4,31,2,184,73,1
587598fa9f11daf90617fefa,202,178,8,1750,95,8
587598fa9f11daf90617fefc,54,10,0,5,68,3
587598fa9f11daf90617fefe,31,85,2,363,10,12
587598fa9f11daf90617ff00,42,57,4,48,5,17
587598fa9f11daf90617ff02,4,22,0,7,4,0
587598fa9f11daf90617ff04,12,2,1,3,15,0
587598fa9f11daf90617ff06,43,77,2,23,0,1
587598fa9f11daf90617ff08,183,200,23,278,104,33
587598fa9f11daf90617ff0a,27,25,21,0,1,9
587598fa9f11daf90617ff0c,30,109,1,83,23,25
587598fa9f11daf90617ff0e,10,6,1,66,16,1
587598fa9f11daf90617ff10,5,228,2,35,30,9
587598fa9f11daf90617ff12,25,17,1,5,24,2
587598fa9f11daf90617ff14,13,6,0,21,6,1
587598fa9f11daf90617ff16,23,12,1,279,112,1
587598fa9f11daf90617ff18,2,14,1,6,58,2
587598fa9f11daf90617ff1a,18,60,12,620,0,0
587598fb9f11daf90617ff1c,16,81,5,159,21,1
587598fb9f11daf90617ff1e,4,113,11,75,22,10
587598fb9f11daf90617ff20,42,74,1,26,22,1
587598fb9f11daf90617ff22,17,34,4,14,19,1
587598fb9f11daf90617ff24,73,21,2,19,18,4
587598fb9f11daf90617ff26,39,10,2,6,2,0
587598fb9f11daf90617ff28,221,221,8,21,1,37
587598fb9f11daf90617ff2a,65,253,6,799,14,13
587598fb9f11daf90617ff2c,159,143,3,14,4,39
587598fb9f11daf90617ff2e,8,0,1,0,1,0
587598fb9f11daf90617ff30,50,191,0,79,54,11
587598fb9f11daf90617ff32,94,2879,52,2210,16,62
587598fb9f11daf90617ff34,5,25,2,84,7,0
587598fb9f11daf90617ff36,45,6,4,1,0,1
587598fb9f11daf90617ff38,5,15,4,22,16,0
587598fb9f11daf90617ff3a,1,18,1,1,11,0
587598fb9f11daf90617ff3c,1,0,0,0,9,0
587598fb9f11daf90617ff3e,174,95,8,5,2,4
587598fb9f11daf90617ff40,199,514,178,3227,115,266
587598fb9f11daf90617ff42,19,12,1,12,2,0
587598fb9f11daf90617ff44,13,42,2,118,55,6
587598fb9f11daf90617ff46,19,27,4,17,19,2
587598fb9f11daf90617ff48,90,57,0,4,1,8
587598fb9f11daf90617ff4a,3,10,0,43,11,0
587598fb9f11daf90617ff4c,8,77,2,13,8,2
587598fb9f11daf90617ff4e,23,428,56,243,46,17
587598fb9f11daf90617ff50,11,3,0,68,0,6
587598fb9f11daf90617ff52,44,739,2,144,171,97
587598fb9f11daf90617ff54,56,108,60,328,44,6
587598fb9f11daf90617ff56,80,43,82,7,1,25
587598fb9f11daf90617ff58,17,146,5,77,22,18
587598fb9f11daf90617ff5a,29,65,8,146,98,11
587598fb9f11daf90617ff5c,7,0,0,0,19,0
587598fb9f11daf90617ff5e,44,47,9,164,43,8
587598fb9f11daf90617ff60,32,132,29,7,1,25
587598fb9f11daf90617ff62,1,0,0,3,0,0
587598fb9f11daf90617ff64,3,64,2,39,22,10
587598fb9f11daf90617ff66,2202,1244,17,193,1,510
587598fb9f11daf90617ff68,18,313,26,823,44,44
587598fb9f11daf90617ff6a,11,31,9,58,7,5
587598fb9f11daf90617ff6c,30,379,25,696,133,20
587598fb9f11daf90617ff6e,29,17,0,54,59,19
587598fb9f11daf90617ff70,20,37,4,30,7,4
587598fb9f11daf90617ff72,57,11,0,0,6,0
587598fb9f11daf90617ff74,12,183,10,162,10,9
587598fb9f11daf90617ff76,48,113,31,97,176,1
587598fb9f11daf90617ff78,2,1,0,0,0,0
587598fb9f11daf90617ff7a,8450,1289,290,205,3,799
587598fb9f11daf90617ff7c,30,11,1,27,4,4
587598fb9f11daf90617ff7e,581,392,2117,107,1,81
587598fb9f11daf90617ff80,187,30,30,19,3,12
587598fb9f11daf90617ff82,14,11,8,75,10,1
587598fb9f11daf90617ff84,13,26,3,75,8,4
587598fb9f11daf90617ff86,52,106,11,53,15,3
